"0","2049194806","Fri Jun 05 16:27:38 PDT 2009","NO_QUERY","specialksd","@troymjohnson That's right. Shoot. "
"4","1558945287","Sun Apr 19 09:50:18 PDT 2009","NO_QUERY","MegananaBobanna","I'm Alive!!!  To the shower! I feel icky. xD"
"0","1795214885","Thu May 14 07:22:14 PDT 2009","NO_QUERY","docksteaderluke","wow... I'm having cereal for breakfast for the first time in months.  I ran out of grapefruit "
"4","2189408730","Mon Jun 15 23:57:51 PDT 2009","NO_QUERY","aqilamzar","I will follow back for who is following me, Thanks! "
"4","2004703990","Tue Jun 02 08:36:47 PDT 2009","NO_QUERY","madkoe3","@meglud Get tacos for coaches: basketball final is done.  haha"
"0","1880386352","Fri May 22 01:03:24 PDT 2009","NO_QUERY","samanthajeans","I'm having a sudden urge to read Jane Eyre, but don't have time "
"4","2177446866","Mon Jun 15 06:07:17 PDT 2009","NO_QUERY","benlimphoto","@jennysunphoto i would be free on wed "
"4","2015185694","Wed Jun 03 03:57:33 PDT 2009","NO_QUERY","SCCardwell","It's now 7am and still no sleep. But it's all good "
"4","1997273184","Mon Jun 01 16:33:33 PDT 2009","NO_QUERY","built","@MarkusQ nice try, but that's actually the rare one I don't know. I win! "
"4","1557513350","Sun Apr 19 04:34:04 PDT 2009","NO_QUERY","eulaivi","is new on twitter "
"4","1960694359","Fri May 29 08:21:50 PDT 2009","NO_QUERY","_LauraJane","@_nataliee Because you love me soooo much. Could you possibly download the Glasvegas cover of Be My Baby for me ?   Cheers Babe!"
"0","1932463756","Tue May 26 21:31:07 PDT 2009","NO_QUERY","Lindsee","im having one of those really difficult days where your mind is a bitch. i miss my ex "
"4","1969266531","Fri May 29 23:30:22 PDT 2009","NO_QUERY","RissArchie","@DavidArchie its good to be you, there're so manything you can do, and so many experience to go through!! its good using twitter,, lol "
"0","1956123925","Thu May 28 21:14:03 PDT 2009","NO_QUERY","apriljapzon","is really sad now because of something that she read. I'm sorry "
"0","2250427857","Sat Jun 20 00:30:14 PDT 2009","NO_QUERY","lttlmisscupcake","heading to normandie for a BBQ. Tho looks like rain.  Made simple Lemon Tart, Vanilla Lover's &amp; Cookie Monster cupcakes."
"4","1977836116","Sat May 30 21:49:12 PDT 2009","NO_QUERY","lettucegirl","@DavidArchie AOR? hmmm. i dont have any idea what that is. heh.will look it up. btw, thanks so much for the blog! "
"0","2208991930","Wed Jun 17 09:52:48 PDT 2009","NO_QUERY","jenniferparente","is bored out of her skull today. "
"0","2263717059","Sun Jun 21 01:36:20 PDT 2009","NO_QUERY","atlonirov","@LynYongsbabe how is it? great? or just like usual? OMG! i feel a little bit sad. "
